" Liczba punktów, jaką uzyskali uczniowie przyjęci do szkół ponadgimnazjalnych w roku szkolnym 2018/2019 ",,,,,,
Dane z 12.07.2018 r. (listy przyjętych w rekrutacji zasadniczej),,,,,,
,,,,,,
Dzielnica szkoły,typ szkoły,Nazwa szkoły,Grupa rekrutacyjna/oddział,Minimum,Średnia,Maksimum
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1A1 [O] mat-fiz-inf (ang-niem),"154,4","157,36","162,6"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1A2 [O] mat-fiz-inf (ang-fra),"152,2","157,76","169,8"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1B1 [O] mat-biol-chem (ang-niem),153,"156,71","161,2"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1B2 [O] mat-biol-chem (ang-fra),"152,8","155,99","166,2"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1C1 [O] mat-geogr-wos (ang-niem),148,"151,79","158,6"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1C2 [O] mat-geogr-wos (ang-fra),144,"151,75","169,4"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1D1 [O] ang-niem-geogr (ang-niem),"135,6","144,23","155,4"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1D2 [O] ang-franc-geogr (ang-fra),"132,4","139,33","149,6"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1E1 [O] ang-geogr-wos (ang-niem),"141,6","146,48","156,2"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1E2 [O] ang-geogr-wos (ang-fra),140,"146,29","155,8"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1f1 [O] pol-hist-wos (ang-niem),"140,4","145,71","152,8"
Mokotów,LO,XLIV Liceum Ogólnokształcące im. Stefana Banacha,1f2 [O] pol-hist-wos (ang-fra),"137,8","142,39","148,8"
Mokotów,LO,XLIX Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Johanna Wolfganga Goethego,1A [O] pol-mat (ang-niem*),"124,4","137,01","167,2"
